sentence,IOB,tokens,aspect,position,sentiment,probs,confidence
"The bass is good , it ' s strong , but the sound is not as clear as the old edition whch500 anyway good for the price imagine 35 hours","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']","['The', 'bass', 'is', 'good', ',', 'it', ""'"", 's', 'strong', ',', 'but', 'the', 'sound', 'is', 'not', 'as', 'clear', 'as', 'the', 'old', 'edition', 'whch500', 'anyway', 'good', 'for', 'the', 'price', 'imagine', '35', 'hours']","['bass', 'sound', 'price']","[[1], [12], [26]]","['Positive', 'Negative', 'Positive']","[[0.00044338073348626494, 0.0003859314019791782, 0.9991706609725952], [0.9928652048110962, 0.004277532920241356, 0.002857330720871687], [0.001767691457644105, 0.0009969223756343126, 0.9972353577613831]]","[0.9992, 0.9929, 0.9972]"
great pricing reasonable shipping time overall good experience thanks shopee,"['O', 'B-ASP', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O']","['great', 'pricing', 'reasonable', 'shipping', 'time', 'overall', 'good', 'experience', 'thanks', 'shopee']","['pricing', 'shipping time']","[[1], [3, 4]]","['Positive', 'Positive']","[[0.002030615694820881, 0.0005875862552784383, 0.9973817467689514], [0.0015160349430516362, 0.000501899397931993, 0.9979820251464844]]","[0.9974, 0.998]"
good product quality good value for money fast delivery,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP']","['good', 'product', 'quality', 'good', 'value', 'for', 'money', 'fast', 'delivery']","['quality', 'delivery']","[[2], [8]]","['Positive', 'Positive']","[[0.0009552926640026271, 0.0006834255764260888, 0.9983612895011902], [0.0015168810496106744, 0.0008664719644002616, 0.9976166486740112]]","[0.9984, 0.9976]"
effectivenesshelps with skin health and c0vid recovery qualitygood quality for price fast shipping,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP']","['effectivenesshelps', 'with', 'skin', 'health', 'and', 'c0vid', 'recovery', 'qualitygood', 'quality', 'for', 'price', 'fast', 'shipping']","['price', 'shipping']","[[10], [12]]","['Positive', 'Positive']","[[0.001468990696594119, 0.0023667565546929836, 0.9961643218994141], [0.004155645612627268, 0.005433229263871908, 0.9904111623764038]]","[0.9962, 0.9904]"
"the best performance , thank God , it arrived in 3 days , the product is very good , it works well , the packaging is ok , I can save this picture , the computer is full of pictures , happy sgtthanks seller for free gift","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['the', 'best', 'performance', ',', 'thank', 'God', ',', 'it', 'arrived', 'in', '3', 'days', ',', 'the', 'product', 'is', 'very', 'good', ',', 'it', 'works', 'well', ',', 'the', 'packaging', 'is', 'ok', ',', 'I', 'can', 'save', 'this', 'picture', ',', 'the', 'computer', 'is', 'full', 'of', 'pictures', ',', 'happy', 'sgtthanks', 'seller', 'for', 'free', 'gift']","['performance', 'works', 'packaging']","[[2], [20], [24]]","['Positive', 'Positive', 'Neutral']","[[8.16382744233124e-05, 0.0009920712327584624, 0.9989262223243713], [0.002801406430080533, 0.26919636130332947, 0.7280022501945496], [0.007666990160942078, 0.9471113681793213, 0.04522166773676872]]","[0.9989, 0.728, 0.9471]"
item was delievered very fast got the day after ordered seller was quite responsive the headset was quite above my expectation even the bass was quite satisfactory for the price,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['item', 'was', 'delievered', 'very', 'fast', 'got', 'the', 'day', 'after', 'ordered', 'seller', 'was', 'quite', 'responsive', 'the', 'headset', 'was', 'quite', 'above', 'my', 'expectation', 'even', 'the', 'bass', 'was', 'quite', 'satisfactory', 'for', 'the', 'price']","['seller', 'the bass']","[[10], [22, 23]]","['Positive', 'Positive']","[[0.00040614206227473915, 0.00036531302612274885, 0.9992285966873169], [0.00044294956023804843, 0.000469896593131125, 0.9990870952606201]]","[0.9992, 0.9991]"
today shopee is very laggy and everytime i tried to open an item no pics no price nothing is loaded,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O']","['today', 'shopee', 'is', 'very', 'laggy', 'and', 'everytime', 'i', 'tried', 'to', 'open', 'an', 'item', 'no', 'pics', 'no', 'price', 'nothing', 'is', 'loaded']","['pics', 'price']","[[14], [16]]","['Negative', 'Negative']","[[0.9986110925674438, 0.0010168729349970818, 0.0003720139793585986], [0.9986567497253418, 0.0009888242930173874, 0.00035444911918602884]]","[0.9986, 0.9987]"
order size 3637 can get size 3839 today,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['order', 'size', '3637', 'can', 'get', 'size', '3839', 'today']",['size'],[[1]],['Neutral'],"[[0.004823452793061733, 0.9928809404373169, 0.0022955886088311672]]",[0.9929]
a enjoyable experience in using this app the developer can simplify further the webpage like less indication button and consize the functions,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['a', 'enjoyable', 'experience', 'in', 'using', 'this', 'app', 'the', 'developer', 'can', 'simplify', 'further', 'the', 'webpage', 'like', 'less', 'indication', 'button', 'and', 'consize', 'the', 'functions']",[],[],[],[],[]
always an enjoyable safe and convenient shopping experience,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['always', 'an', 'enjoyable', 'safe', 'and', 'convenient', 'shopping', 'experience']",['shopping'],[[6]],['Positive'],"[[0.0007253127987496555, 0.0005884052952751517, 0.9986862540245056]]",[0.9987]
thank you seller everything is in good condition and the product is genuine and ori ofc hehe very fast delivery as well,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']","['thank', 'you', 'seller', 'everything', 'is', 'in', 'good', 'condition', 'and', 'the', 'product', 'is', 'genuine', 'and', 'ori', 'ofc', 'hehe', 'very', 'fast', 'delivery', 'as', 'well']",['delivery'],[[19]],['Positive'],"[[0.0007477110484614968, 0.0005655786953866482, 0.9986867308616638]]",[0.9987]
"Effective , thank God , quality is enough , thank you , goods received well , you can repeat order , in shaa Allah","['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Effective', ',', 'thank', 'God', ',', 'quality', 'is', 'enough', ',', 'thank', 'you', ',', 'goods', 'received', 'well', ',', 'you', 'can', 'repeat', 'order', ',', 'in', 'shaa', 'Allah']",['quality'],[[5]],['Positive'],"[[0.0001569664163980633, 0.0005771942087449133, 0.9992658495903015]]",[0.9993]
ask me to sign in with fb or emaili did ask for credit card infoi gave still wanting phone number for verification my number is used by my wife ended up i cant buy anything just for that,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['ask', 'me', 'to', 'sign', 'in', 'with', 'fb', 'or', 'emaili', 'did', 'ask', 'for', 'credit', 'card', 'infoi', 'gave', 'still', 'wanting', 'phone', 'number', 'for', 'verification', 'my', 'number', 'is', 'used', 'by', 'my', 'wife', 'ended', 'up', 'i', 'cant', 'buy', 'anything', 'just', 'for', 'that']",['fb'],[[6]],['Neutral'],"[[0.0029980242252349854, 0.9827762842178345, 0.014225662685930729]]",[0.9828]
comfortabilityvery comfortable materialvery good everything is okaypng delivery is solid the quality of these slippers also helps not to lose but still cheap,"['B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['comfortabilityvery', 'comfortable', 'materialvery', 'good', 'everything', 'is', 'okaypng', 'delivery', 'is', 'solid', 'the', 'quality', 'of', 'these', 'slippers', 'also', 'helps', 'not', 'to', 'lose', 'but', 'still', 'cheap']","['comfortabilityvery', 'materialvery', 'delivery']","[[0], [2], [7]]","['Positive', 'Positive', 'Positive']","[[0.0004349984519649297, 0.000687277119141072, 0.9988777041435242], [0.00034914060961455107, 0.0005169999785721302, 0.9991338849067688], [0.00037221415550448, 0.00042879785178229213, 0.9991989731788635]]","[0.9989, 0.9991, 0.9992]"
"Items are delivered very quickly , trusted seller","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP']","['Items', 'are', 'delivered', 'very', 'quickly', ',', 'trusted', 'seller']","['delivered', 'seller']","[[2], [7]]","['Positive', 'Positive']","[[0.0016122579108923674, 0.0004941996885463595, 0.9978935122489929], [0.002366939326748252, 0.0005785457324236631, 0.9970544576644897]]","[0.9979, 0.9971]"
have been trying to sign up an account but has not been successful whatever password i try creating its always say not available following the instructions doesnt help too tks,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['have', 'been', 'trying', 'to', 'sign', 'up', 'an', 'account', 'but', 'has', 'not', 'been', 'successful', 'whatever', 'password', 'i', 'try', 'creating', 'its', 'always', 'say', 'not', 'available', 'following', 'the', 'instructions', 'doesnt', 'help', 'too', 'tks']",['password'],[[14]],['Negative'],"[[0.9981491565704346, 0.0015786777948960662, 0.00027225271333009005]]",[0.9981]
"quality , good material , soft material , I like this shirt , it ' s comfortable to wear , I ' ll order 3 more","['B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['quality', ',', 'good', 'material', ',', 'soft', 'material', ',', 'I', 'like', 'this', 'shirt', ',', 'it', ""'"", 's', 'comfortable', 'to', 'wear', ',', 'I', ""'"", 'll', 'order', '3', 'more']","['quality', 'material', 'wear']","[[0], [3], [18]]","['Positive', 'Positive', 'Positive']","[[0.0005264495266601443, 0.0007544289692305028, 0.9987190961837769], [0.0003398059052415192, 0.0005183002795092762, 0.9991419315338135], [0.00034726690500974655, 0.0006211571744643152, 0.9990315437316895]]","[0.9987, 0.9991, 0.999]"
great online shopping platform with lots of items and online activities live demo show voucher etc,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['great', 'online', 'shopping', 'platform', 'with', 'lots', 'of', 'items', 'and', 'online', 'activities', 'live', 'demo', 'show', 'voucher', 'etc']",[],[],[],[],[]
"comfort light shoes with rubber material , the best comfort","['B-ASP', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'B-ASP']","['comfort', 'light', 'shoes', 'with', 'rubber', 'material', ',', 'the', 'best', 'comfort']","['comfort', 'rubber material', 'comfort']","[[0], [4, 5], [9]]","['Positive', 'Positive', 'Positive']","[[0.002714618341997266, 0.0009545724606141448, 0.9963307976722717], [0.001501895603723824, 0.0006958408048376441, 0.997802197933197], [0.002714618341997266, 0.0009545724606141448, 0.9963307976722717]]","[0.9963, 0.9978, 0.9963]"
the discount vouchers can be better value too low there is still room for improvement,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['the', 'discount', 'vouchers', 'can', 'be', 'better', 'value', 'too', 'low', 'there', 'is', 'still', 'room', 'for', 'improvement']",['value'],[[6]],['Negative'],"[[0.9986336827278137, 0.0009457929991185665, 0.00042050701449625194]]",[0.9986]
quality good material nice 2xl size cun cun with my height 180 weight 80 the fabric is also good it ' s the best seller,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['quality', 'good', 'material', 'nice', '2xl', 'size', 'cun', 'cun', 'with', 'my', 'height', '180', 'weight', '80', 'the', 'fabric', 'is', 'also', 'good', 'it', ""'"", 's', 'the', 'best', 'seller']","['material', 'fabric']","[[2], [15]]","['Positive', 'Positive']","[[0.00019649721798487008, 0.0022844597697257996, 0.9975190162658691], [0.00019862204499077052, 0.0018295067129656672, 0.9979718327522278]]","[0.9975, 0.998]"
enjoying online shopping during this cb period haha,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']","['enjoying', 'online', 'shopping', 'during', 'this', 'cb', 'period', 'haha']",['shopping'],[[2]],['Positive'],"[[0.00161618716083467, 0.0005437450599856675, 0.9978400468826294]]",[0.9978]
faster with lower prices,"['O', 'O', 'O', 'B-ASP']","['faster', 'with', 'lower', 'prices']",['prices'],[[3]],['Positive'],"[[0.019557051360607147, 0.0012207890395075083, 0.9792221188545227]]",[0.9792]
getting to like shopee after qoo10 using different way of saving for buyers which dusnt suit many of us lifestyle only thing i found out abt shopee is why limit use of coins staring at 10 n reducing after a number of buys for tis u deserve 3 stars when coin unable to use i switch to other shopping on line,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['getting', 'to', 'like', 'shopee', 'after', 'qoo10', 'using', 'different', 'way', 'of', 'saving', 'for', 'buyers', 'which', 'dusnt', 'suit', 'many', 'of', 'us', 'lifestyle', 'only', 'thing', 'i', 'found', 'out', 'abt', 'shopee', 'is', 'why', 'limit', 'use', 'of', 'coins', 'staring', 'at', '10', 'n', 'reducing', 'after', 'a', 'number', 'of', 'buys', 'for', 'tis', 'u', 'deserve', '3', 'stars', 'when', 'coin', 'unable', 'to', 'use', 'i', 'switch', 'to', 'other', 'shopping', 'on', 'line']","['shopee', 'coins']","[[3], [32]]","['Positive', 'Negative']","[[0.003360817674547434, 0.0007923447992652655, 0.9958468079566956], [0.9980277419090271, 0.0015711154555901885, 0.00040110578993335366]]","[0.9958, 0.998]"
qualitygood very good,"['B-ASP', 'O', 'O']","['qualitygood', 'very', 'good']",['qualitygood'],[[0]],['Positive'],"[[0.024270355701446533, 0.004004377871751785, 0.9717252850532532]]",[0.9717]
cant even search for items as it always shows the main page again and again,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['cant', 'even', 'search', 'for', 'items', 'as', 'it', 'always', 'shows', 'the', 'main', 'page', 'again', 'and', 'again']",['search'],[[2]],['Negative'],"[[0.9982921481132507, 0.0014742176281288266, 0.00023360415070783347]]",[0.9983]
"Color blind material , why do you order black and white ? It arrived","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Color', 'blind', 'material', ',', 'why', 'do', 'you', 'order', 'black', 'and', 'white', '?', 'It', 'arrived']",['material'],[[2]],['Negative'],"[[0.9988204836845398, 0.0008977808756753802, 0.0002817582862917334]]",[0.9988]
great app but can we have another payment method cash as i do not have a credit card nor a bank account,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O']","['great', 'app', 'but', 'can', 'we', 'have', 'another', 'payment', 'method', 'cash', 'as', 'i', 'do', 'not', 'have', 'a', 'credit', 'card', 'nor', 'a', 'bank', 'account']","['app', 'credit card']","[[1], [16, 17]]","['Neutral', 'Neutral']","[[0.01789632812142372, 0.7606582045555115, 0.22144551575183868], [0.005349722225219011, 0.988049328327179, 0.006600860971957445]]","[0.7607, 0.988]"
item received safely fast and secure delivery using dhl ordered on midnight 77 sale 9th july already received item great job switch team,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['item', 'received', 'safely', 'fast', 'and', 'secure', 'delivery', 'using', 'dhl', 'ordered', 'on', 'midnight', '77', 'sale', '9th', 'july', 'already', 'received', 'item', 'great', 'job', 'switch', 'team']",['delivery'],[[6]],['Positive'],"[[0.0003286569262854755, 0.00044132553739473224, 0.9992300271987915]]",[0.9992]
"performancenice haven ' t tried using it yet , it ' s cute , the size is the best because it can have usb c too","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O']","['performancenice', 'haven', ""'"", 't', 'tried', 'using', 'it', 'yet', ',', 'it', ""'"", 's', 'cute', ',', 'the', 'size', 'is', 'the', 'best', 'because', 'it', 'can', 'have', 'usb', 'c', 'too']","['size', 'usb c']","[[15], [23, 24]]","['Positive', 'Neutral']","[[0.0007532904855906963, 0.01580367237329483, 0.9834430813789368], [0.03137974068522453, 0.9292306900024414, 0.039389532059431076]]","[0.9834, 0.9292]"
item received in good condition and promptly arrived will repurchase with buyer again,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']","['item', 'received', 'in', 'good', 'condition', 'and', 'promptly', 'arrived', 'will', 'repurchase', 'with', 'buyer', 'again']",['arrived'],[[7]],['Positive'],"[[0.00037662682007066905, 0.0003653573803603649, 0.9992579817771912]]",[0.9993]
all round great app i get to buy stuff from overseas that are typically not in singapore at great deals it would be better though if shopee clamps down on sellers selling counterfeit items also for users to update review several months after to share how the product worked for them in the long term,"['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['all', 'round', 'great', 'app', 'i', 'get', 'to', 'buy', 'stuff', 'from', 'overseas', 'that', 'are', 'typically', 'not', 'in', 'singapore', 'at', 'great', 'deals', 'it', 'would', 'be', 'better', 'though', 'if', 'shopee', 'clamps', 'down', 'on', 'sellers', 'selling', 'counterfeit', 'items', 'also', 'for', 'users', 'to', 'update', 'review', 'several', 'months', 'after', 'to', 'share', 'how', 'the', 'product', 'worked', 'for', 'them', 'in', 'the', 'long', 'term']",['app'],[[3]],['Positive'],"[[0.00048128439811989665, 0.0005570612847805023, 0.9989616870880127]]",[0.999]
photos may take sometime to load other than that good prices and deals,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']","['photos', 'may', 'take', 'sometime', 'to', 'load', 'other', 'than', 'that', 'good', 'prices', 'and', 'deals']",['prices'],[[10]],['Positive'],"[[0.0009734453051351011, 0.0006483044126071036, 0.9983782768249512]]",[0.9984]
user friendly app good service on ordering and delivery,"['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP']","['user', 'friendly', 'app', 'good', 'service', 'on', 'ordering', 'and', 'delivery']","['service', 'delivery']","[[4], [8]]","['Positive', 'Positive']","[[0.0023517305962741375, 0.0004215598164591938, 0.9972266554832458], [0.0028526384849101305, 0.0005153287784196436, 0.9966320395469666]]","[0.9972, 0.9966]"
2nd order for some items,"['O', 'B-ASP', 'O', 'O', 'O']","['2nd', 'order', 'for', 'some', 'items']",['order'],[[1]],['Negative'],"[[0.8739411234855652, 0.1255578249692917, 0.0005009963060729206]]",[0.8739]
"It ' s beautiful for walking , I ' ll order again","['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['It', ""'"", 's', 'beautiful', 'for', 'walking', ',', 'I', ""'"", 'll', 'order', 'again']",['walking'],[[5]],['Positive'],"[[0.0009705949923954904, 0.00045907622552476823, 0.9985703229904175]]",[0.9986]
easy to use and safe,"['O', 'O', 'B-ASP', 'O', 'O']","['easy', 'to', 'use', 'and', 'safe']",['use'],[[2]],['Positive'],"[[0.0014626277843490243, 0.000742199132218957, 0.9977952241897583]]",[0.9978]
materialok qualityok no waist line size how will wear this so small waste of money next time you put waist size if youre selling pants,"['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['materialok', 'qualityok', 'no', 'waist', 'line', 'size', 'how', 'will', 'wear', 'this', 'so', 'small', 'waste', 'of', 'money', 'next', 'time', 'you', 'put', 'waist', 'size', 'if', 'youre', 'selling', 'pants']",['materialok'],[[0]],['Negative'],"[[0.99714595079422, 0.0018123934278264642, 0.0010416184086352587]]",[0.9971]
at first was fantastic but now you asked for different thing shopee will corner you to other things furthermore some of the sellers are not serious about selling and not sincere nowadays getting similar with geeks,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['at', 'first', 'was', 'fantastic', 'but', 'now', 'you', 'asked', 'for', 'different', 'thing', 'shopee', 'will', 'corner', 'you', 'to', 'other', 'things', 'furthermore', 'some', 'of', 'the', 'sellers', 'are', 'not', 'serious', 'about', 'selling', 'and', 'not', 'sincere', 'nowadays', 'getting', 'similar', 'with', 'geeks']",['sellers'],[[22]],['Negative'],"[[0.9987564086914062, 0.0008818681235425174, 0.00036169643863104284]]",[0.9988]
shopee has one of the worst customer service ive seen troubleshooting to them just prompts them to say have you cleared cache when the mistake is obviously them and they dont try to fix it the 1st time round happened twice,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['shopee', 'has', 'one', 'of', 'the', 'worst', 'customer', 'service', 'ive', 'seen', 'troubleshooting', 'to', 'them', 'just', 'prompts', 'them', 'to', 'say', 'have', 'you', 'cleared', 'cache', 'when', 'the', 'mistake', 'is', 'obviously', 'them', 'and', 'they', 'dont', 'try', 'to', 'fix', 'it', 'the', '1st', 'time', 'round', 'happened', 'twice']",['customer service'],"[[6, 7]]",['Negative'],"[[0.9984947443008423, 0.0011067163432016969, 0.0003984991635661572]]",[0.9985]
beware of scammers using this app and others as a mean to scam you by asking for your otp numbers and taking away your hard earn money so far shopee have no way yet to counter this and stop or hold a transaction when requested even after a police report being made my mom has been scammed thus this post bought many different items here and saving transportation fare and growing fatter coz im not out to physically shop for the various items,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['beware', 'of', 'scammers', 'using', 'this', 'app', 'and', 'others', 'as', 'a', 'mean', 'to', 'scam', 'you', 'by', 'asking', 'for', 'your', 'otp', 'numbers', 'and', 'taking', 'away', 'your', 'hard', 'earn', 'money', 'so', 'far', 'shopee', 'have', 'no', 'way', 'yet', 'to', 'counter', 'this', 'and', 'stop', 'or', 'hold', 'a', 'transaction', 'when', 'requested', 'even', 'after', 'a', 'police', 'report', 'being', 'made', 'my', 'mom', 'has', 'been', 'scammed', 'thus', 'this', 'post', 'bought', 'many', 'different', 'items', 'here', 'and', 'saving', 'transportation', 'fare', 'and', 'growing', 'fatter', 'coz', 'im', 'not', 'out', 'to', 'physically', 'shop', 'for', 'the', 'various', 'items']",[],[],[],[],[]
dont select all the cart items automatically let us select ourselves,"['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['dont', 'select', 'all', 'the', 'cart', 'items', 'automatically', 'let', 'us', 'select', 'ourselves']",['cart'],[[4]],['Negative'],"[[0.9976782202720642, 0.0021168487146496773, 0.00020493703777901828]]",[0.9977]
not easy to use,"['O', 'O', 'O', 'B-ASP']","['not', 'easy', 'to', 'use']",['use'],[[3]],['Negative'],"[[0.9985989928245544, 0.0008656815625727177, 0.0005353882443159819]]",[0.9986]
great shopping app,"['O', 'O', 'B-ASP']","['great', 'shopping', 'app']",['app'],[[2]],['Positive'],"[[0.05666552111506462, 0.0025555866304785013, 0.9407788515090942]]",[0.9408]
good and cheap buys always found,"['O', 'O', 'O', 'B-ASP', 'O', 'O']","['good', 'and', 'cheap', 'buys', 'always', 'found']",['buys'],[[3]],['Positive'],"[[0.0013477419270202518, 0.0004276421677786857, 0.998224675655365]]",[0.9982]
shopper is my favourite online shopping platform users friendly with good deals especially secure with shopper guarantees keep up the good work shoppee team,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['shopper', 'is', 'my', 'favourite', 'online', 'shopping', 'platform', 'users', 'friendly', 'with', 'good', 'deals', 'especially', 'secure', 'with', 'shopper', 'guarantees', 'keep', 'up', 'the', 'good', 'work', 'shoppee', 'team']","['deals', 'guarantees']","[[11], [16]]","['Positive', 'Negative']","[[0.008466552942991257, 0.0007920633070170879, 0.9907413721084595], [0.9819066524505615, 0.0027388462331146, 0.015354536473751068]]","[0.9907, 0.9819]"
